Characteristic Name,Sample Fraction,Activity Relative Depth,Parameter,Fraction,Depth
Total fixed solids,,Surface,Total fixed solids,Total,Surface
Total fixed solids,,,Total fixed solids,Total,
Total suspended solids,Total,Bottom,Total suspended solids,Total,Bottom
Total suspended solids,Total,Surface,Total suspended solids,Total,Surface
Total suspended solids,Total,,Total suspended solids,Total,
Total suspended solids,,Bottom,Total suspended solids,Total,Bottom
Total suspended solids,,Surface,Total suspended solids,Total,Surface
Total suspended solids,,,Total suspended solids,Total,
Total volatile solids,Total,Bottom,Total volatile solids,Total,Bottom
Total volatile solids,Total,Surface,Total volatile solids,Total,Surface
Total volatile solids,Total,,Total volatile solids,Total,
Total volatile solids,,Bottom,Total volatile solids,Total,Bottom
Total volatile solids,,Surface,Total volatile solids,Total,Surface
Total volatile solids,,,Total volatile solids,Total,
Toxaphene,Total,Bottom,Toxaphene,Total,Bottom
Toxaphene,Total,Surface,Toxaphene,Total,Surface
Toxaphene,Total,,Toxaphene,Total,
TSS,,Bottom,Total suspended solids,Total,Bottom
TSS,,Surface,Total suspended solids,Total,Surface
TSS,,,Total suspended solids,Total,
TURB,,Bottom,Turbidity,N/A,Bottom
TURB,,Surface,Turbidity,N/A,Surface
TURB,,,Turbidity,N/A,
Turbidity,Total,Bottom,Turbidity,N/A,Bottom
Turbidity,Total,Surface,Turbidity,N/A,Surface
Turbidity,Total,,Turbidity,N/A,
Turbidity,,Bottom,Turbidity,N/A,Bottom
Turbidity,,Surface,Turbidity,N/A,Surface
Turbidity,,,Turbidity,N/A,
VSS,,Bottom,VSS,,Bottom
VSS,,Surface,VSS,,Surface
VSS,,,VSS,,
Zinc,Acid Soluble,Bottom,Zinc,Total,Bottom
Zinc,Acid Soluble,Surface,Zinc,Total,Surface
Zinc,Acid Soluble,,Zinc,Total,
Zinc,Dissolved,Bottom,Zinc,Dissolved,Bottom
Zinc,Dissolved,Surface,Zinc,Dissolved,Surface
Zinc,Dissolved,,Zinc,Dissolved,
Zinc,Total,Bottom,Zinc,Total,Bottom
Zinc,Total,Surface,Zinc,Total,Surface
Zinc,Total,,Zinc,Total,
