"date","SiteCode","Month","DOY","BGA","Chl","DO","DOsat","CDOM","pH","Specific.Conductance","Temperature","Turbidity"
2016-09-13,"4917715",9,257,2.6,14.2,9.32,101.867247827308,NA,8.86,2956,19.54,516.65
2016-09-14,"4917365",9,258,1.9,8.7,8.02,85.1091734496303,NA,8.73,2892,18.26,279.86
2016-09-14,"4917390",9,258,2.2,10.6,7.22,77.081080929738,NA,8.75,2701,18.39,118.58
2016-09-14,"4917715",9,258,2,9.9,8.41,90.1009329527281,NA,8.81,2954,18.58,175.57
2016-09-15,"4917365",9,259,2.6,7.5,9.5,100.836042838291,NA,8.78,2890,18.11,175.67
2016-09-15,"4917390",9,259,2.3,8,8.17,86.9711230358018,NA,8.75,2770,18.25,93.52
2016-09-15,"4917715",9,259,2.1,11.4,9.63,102.449396523548,NA,8.81,2960,18.22,143.47
2016-09-16,"4917365",9,260,2.2,7.6,10.71,114.883866586699,NA,8.85,2899,18.62,106.86
2016-09-16,"4917390",9,260,1.8,9.1,8.86,93.9062009101804,NA,8.78,2806,18.04,70.39
2016-09-16,"4917715",9,260,1.6,7.1,9.82,100.949253957659,NA,8.82,2954,17.77,103.7
2016-09-17,"4917365",9,261,1.9,8.1,9.91,102.534334086093,NA,8.84,2908,18.11,79.68
2016-09-17,"4917390",9,261,1.5,8.1,9.76,101.168472391093,NA,8.83,2750,17.78,45.47
2016-09-17,"4917715",9,261,2.3,8.3,10.35,109.310911081515,NA,8.84,2935,18.79,65.67
2016-09-18,"4917365",9,262,1.7,7,9.38,97.4228647807693,NA,8.83,2923,17.77,72.12
2016-09-18,"4917390",9,262,1.4,9,9.52,103.590388572852,NA,8.85,2749,19.32,38.09
2016-09-18,"4917715",9,262,1.6,6.8,9.94,108.512003391837,NA,8.82,2933,19.57,57.39
2016-09-19,"4917365",9,263,1.5,9.1,9.93,107.588749130977,NA,8.88,2948,19.81,77.29
2016-09-19,"4917390",9,263,2.4,6.9,9.38,98.4467033103892,NA,8.88,2652,18.41,53.51
2016-09-19,"4917715",9,263,1.1,6.8,9.41,102.518195833912,NA,8.8,2946,20.37,69.77
2016-09-20,"4917365",9,264,1.7,8.9,10.04,111.393281356335,NA,8.89,2956,20.79,227.29
2016-09-20,"4917390",9,264,2,6,9.27,99.8021796440747,NA,8.86,2744,19.4,145.82
2016-09-20,"4917715",9,264,2,14.7,9.6,104.397264463562,NA,8.87,3154,20.05,122.93
2016-09-21,"4917365",9,265,1.5,5.7,8.64,95.7725642319108,NA,8.83,2953,20.24,990.45
2016-09-21,"4917390",9,265,1.8,6.9,7.64,81.8515015171038,NA,8.8,2804,19.95,217.91
2016-09-21,"4917715",9,265,2.1,13.5,9.06,100.528434897936,NA,8.81,3137,20.29,139.94
2016-09-22,"4917365",9,266,3.5,5.2,8.02,87.7114806641005,NA,8.78,2933,19.58,2283.94
2016-09-22,"4917390",9,266,2.4,6.3,6.79,73.4310354349782,NA,8.69,2809,19.14,397.54
2016-09-22,"4917715",9,266,3.2,10.3,8.5,92.5101992338752,NA,8.77,3014,19.33,622.74
2016-09-23,"4917365",9,267,2.2,5,7.76,78.8028194597193,NA,8.73,2872,17.6,235.72
2016-09-23,"4917390",9,267,2.8,5.8,7.12,71.9602231499748,NA,8.74,2658,17.24,158.51
2016-09-23,"4917715",9,267,2.3,9.2,7.97,80.4324851059343,NA,8.7,3036,17.27,175.1
2016-09-24,"4917365",9,268,2,5.1,8.89,88.3138160183107,NA,8.75,2847,15.04,201.21
2016-09-24,"4917390",9,268,2.8,6,7.43,74.1670533399408,NA,8.66,2755,15.27,165.27
2016-09-24,"4917715",9,268,2.2,10.5,9.13,90.0606648119154,NA,8.74,3021,14.73,125.94
2016-09-25,"4917365",9,269,1.8,5.3,9.59,96.7350154952653,NA,8.78,2861,15.76,103.42
2016-09-25,"4917390",9,269,2.2,5.8,9.3,93.5452132109859,NA,8.72,2766,16.06,96.36
2016-09-25,"4917715",9,269,1.8,9.6,10.71,106.487331490108,NA,8.81,3020,16.13,110
2016-09-26,"4917365",9,270,1.8,6.4,9.71,98.2112286299229,NA,8.79,2869,16.51,73.26
2016-09-26,"4917390",9,270,2.2,6.1,9.04,93.7648254812581,NA,8.74,2759,17.15,79.05
2016-09-26,"4917715",9,270,1.7,12.4,10.54,104.038201782832,NA,8.78,2984,15.9,66.83
2016-09-27,"4917365",9,271,1.4,4.9,10.38,107.790752060557,NA,8.83,2896,18.04,79.51
2016-09-27,"4917390",9,271,1.9,5.5,9.27,97.3126151618364,NA,8.75,2647,17.58,53.49
2016-09-27,"4917715",9,271,1.5,6.5,10.59,106.590345586921,NA,8.78,2985,17.02,46.94
2016-09-28,"4917365",9,272,2.8,7.9,9.9,104.97268251844,NA,8.82,2893,18.06,81.29
2016-09-28,"4917390",9,272,1.2,4.8,8.81,91.5582473630493,NA,8.72,2728,17.77,66.67
2016-09-28,"4917715",9,272,1.2,4.9,9.63,100.564995521599,NA,8.74,3007,17.93,74.43
2016-09-29,"4917365",9,273,2.9,7.4,9.96,108.004129083689,NA,8.83,2875,19.21,113.6
2016-09-29,"4917390",9,273,0.5,4,8.22,86.0549781614774,NA,8.67,2845,18.39,92.58
2016-09-29,"4917715",9,273,1.7,13.1,9.27,99.7441454310398,NA,8.73,3007,18.87,147.79
2016-09-30,"4917365",9,274,2.6,6,8.74,92.8847416469196,NA,8.78,2904,18.17,215.34
2016-09-30,"4917390",9,274,1,7.6,7.5,81.0965210686976,NA,8.64,2831,19.02,114.74
2016-09-30,"4917715",9,274,2,5.8,9.14,99.031473294384,NA,8.75,3020,19.11,152.7
2016-10-01,"4917365",10,275,2.1,4.4,8.51,91.3976060419535,NA,8.75,2903,18.75,126.16
2016-10-01,"4917390",10,275,1.4,6.6,7.37,79.0401438678094,NA,8.63,2672,18.78,103.36
2016-10-01,"4917715",10,275,2.4,6.2,8.03,87.3417032214829,NA,8.77,2987,19.3,234.92
2016-10-02,"4917365",10,276,4,3.7,8.21,87.9401113713195,NA,8.73,2901,18.63,724.7
2016-10-02,"4917390",10,276,1.5,8.2,7.32,77.0518165408985,NA,8.7,2936,18.38,463.65
2016-10-02,"4917715",10,276,3.5,5.7,7.81,83.9657646525561,NA,8.72,2998,18.79,638.67
2016-10-03,"4917365",10,277,3.4,4.3,8.19,82.0577407569948,NA,8.69,2914,17.39,609.1
2016-10-03,"4917390",10,277,1.9,8.2,7.02,70.7958774078471,NA,8.58,2937,17.35,560.1
2016-10-03,"4917715",10,277,4.2,5.8,8.1,79.8828229589265,NA,8.68,2980,17.52,913.6
2016-10-04,"4917365",10,278,3.4,5.1,9.07,89.7258107035665,NA,8.75,2892,14.87,107.96
2016-10-04,"4917390",10,278,2.7,10.4,8.4,82.0730959492754,NA,8.68,2931,14.92,131.09
2016-10-04,"4917715",10,278,2.2,5.8,9.22,90.6470565341457,NA,8.65,2928,14.54,165.88
2016-10-05,"4917365",10,279,3.3,4.1,8.93,87.0572624960964,NA,8.73,2900,14.16,397.09
2016-10-05,"4917390",10,279,2.2,6.5,8.1,78.4475254038503,NA,8.64,2947,14.31,313.17
2016-10-05,"4917715",10,279,3.2,4.5,8.61,82.9091128703967,NA,8.63,2904,13.68,410.69
2016-10-06,"4917365",10,280,3.6,5,9.26,88.5460961205304,NA,8.73,2910.025,13.38,128.82
2016-10-06,"4917390",10,280,2.2,8.1,8.61,82.2001694531999,NA,8.63,2882,13.23,106.85
2016-10-06,"4917715",10,280,2.8,4.5,9.27,89.2645152507059,NA,8.61,3052,13.61,148.15
2016-10-07,"4917365",10,281,3.5,5.8,9.28,88.0346672836746,NA,8.74,2988.517,12.98,111.15
2016-10-07,"4917390",10,281,1.6,6.4,8.46,81.7400500677961,NA,8.63,2873,13.76,74.61
2016-10-07,"4917715",10,281,2.2,5.4,9.34,88.5836709054948,NA,8.66,2971,13.02,187.17
2016-10-08,"4917365",10,282,3.3,4.4,9.55,91.9886234053734,NA,8.76,3039.55,13.68,77.17
2016-10-08,"4917390",10,282,1.1,5,8.54,83.2404540133125,NA,8.65,2888,14.54,78.63
2016-10-08,"4917715",10,282,2.1,5.1,9.88,93.6411586689555,NA,8.68,2930,12.91,55.92
2016-10-09,"4917365",10,283,2.9,3.6,9.47,89.6938565128648,NA,8.76,3093.196,13.34,62.74
2016-10-09,"4917390",10,283,1,5.4,8.65,84.9111720914416,NA,8.66,2902,14.77,64.43
2016-10-09,"4917715",10,283,1.8,4.2,9.89,93.5436519656659,NA,8.68,2943,13.82,45.53
2016-10-10,"4917365",10,284,2.5,3.7,9.75,96.3539645871362,NA,8.79,3151.842,14.82,109.46
2016-10-10,"4917390",10,284,1.8,5.9,9.09,88.103402555191,NA,8.75,2758,14.96,86.22
2016-10-10,"4917715",10,284,1.2,4.1,9.07,87.0633187897223,NA,8.61,2947,14.01,129.65
2016-10-11,"4917365",10,285,2.5,3.4,9.27,92.6151476347986,NA,8.76,3177.056,15.4,181.79
2016-10-11,"4917390",10,285,2.2,7.2,8.28,81.5316705666092,NA,8.7,2792,15.33,159.81
2016-10-11,"4917715",10,285,1.4,4.7,8.56,84.7180347263731,NA,8.58,2949,14.88,188.49
2016-10-12,"4917365",10,286,3.2,4,8.91,87.8905283104235,NA,8.76,3169,14.69,122.64
2016-10-12,"4917390",10,286,2.2,5.6,9.04,88.2683005787454,NA,8.71,2845,14.48,165.52
2016-10-12,"4917715",10,286,1.8,3.8,8.87,85.6519324401878,NA,8.63,2949,14.55,176.38
2016-10-13,"4917365",10,287,3.5,4.7,9.09,89.5472146565556,NA,8.76,3163,14.63,79.46
2016-10-13,"4917390",10,287,2,6.6,9.26,91.5651211556174,NA,8.7,2840,14.8,90.77
2016-10-13,"4917715",10,287,2,15.1,9.18,90.433820742264,NA,8.63,2891.241,14.65,59.85
2016-10-14,"4917365",10,288,3,3,8.81,86.0023761875788,NA,8.75,3275,14.24,380.75
2016-10-14,"4917390",10,288,2.4,4.8,8.77,85.0780575639341,NA,8.69,2858,14.14,323.32
2016-10-14,"4917715",10,288,2.7,3.6,8.7,84.6636883041478,NA,8.6,2856.759,14.08,321.58
