Year,MonthLab,Elevation (ft),Rel_comp
2001,APR,4488.005,-1.04
2001,MAY,4487.255,-1.79
2001,JUN,4486.455,-2.59
2001,JUL,4485.605,-3.44
2001,AUG,4484.905,-4.14
2001,SEP,4484.505,-4.54
2001,OCT,4484.705,-4.34
2001,NOV,4485.305,-3.74
2001,DEC,4486.505,-2.54
2002,JAN,4486.205,-2.84
2002,FEB,4486.605,-2.44
2002,MAR,4486.855,-2.19
2002,APR,4486.705,-2.34
2002,MAY,4486.005,-3.04
2002,JUN,4485.105,-3.94
2002,JUL,4484.205,-4.84
2002,AUG,4483.605,-5.44
2002,SEP,4483.605,-5.44
2002,OCT,4483.805,-5.24
2002,NOV,4484.105,-4.94
2002,DEC,4485.255,-3.79
2003,JAN,4484.805,-4.24
2003,FEB,4485.255,-3.79
2003,MAR,4485.555,-3.49
2003,APR,4485.005,-4.04
2003,MAY,4485.055,-3.99
2003,JUN,4484.205,-4.84
2003,JUL,4483.305,-5.74
2003,AUG,4483.905,-5.14
2003,SEP,4482.505,-6.54
2003,OCT,4482.705,-6.34
2003,NOV,4483.305,-5.74
2003,DEC,4484.205,-4.84
2004,JAN,4484.145,-4.90
2004,FEB,4484.605,-4.44
2004,MAR,4484.915,-4.13
2004,APR,4485.185,-3.86
2004,MAY,4484.920,-4.13
2004,JUN,4484.320,-4.73
2004,JUL,4483.912,-5.13
2004,AUG,4482.711,-6.33
2004,SEP,4482.008,-7.04
2004,OCT,4482.141,-6.90
2004,NOV,4482.526,-6.52
2004,DEC,4483.073,-5.97
2005,JAN,4483.683,-5.36
2005,FEB,4484.270,-4.77
2005,MAR,4484.760,-4.28
2005,APR,4485.089,-3.96
2005,MAY,4486.597,-2.45
2005,JUN,4487.869,-1.18
2005,JUL,4487.808,-1.24
2005,AUG,4487.135,-1.91
2005,SEP,4486.599,-2.45
2005,OCT,4486.647,-2.40
2005,NOV,4487.122,-1.92
2005,DEC,4487.517,-1.53
2006,JAN,4488.102,-0.94
2006,FEB,4488.568,-0.48
2006,MAR,4489.010,-0.04
2006,APR,4489.346,0.30
2006,MAY,4489.615,0.57
2006,JUN,4489.295,0.25
2006,JUL,4488.663,-0.38
2006,AUG,4488.022,-1.02
2006,SEP,4487.600,-1.45
2006,OCT,4487.738,-1.31
2006,NOV,4488.029,-1.02
2006,DEC,4488.470,-0.58
2007,JAN,4488.825,-0.22
2007,FEB,4489.204,0.16
2007,MAR,4489.336,0.29
2007,APR,4489.176,0.13
2007,MAY,4488.946,-0.10
2007,JUN,4488.514,-0.53
2007,JUL,4487.817,-1.23
2007,AUG,4487.105,-1.94
2007,SEP,4486.484,-2.56
2007,OCT,4486.383,-2.66
2007,NOV,4486.542,-2.50
2007,DEC,4486.935,-2.11
2008,JAN,4487.400,-1.65
2008,FEB,4487.891,-1.15
2008,MAR,4488.264,-0.78
2008,APR,4488.565,-0.48
2008,MAY,4488.674,-0.37
2008,JUN,4488.656,-0.39
2008,JUL,4488.163,-0.88
2008,AUG,4487.345,-1.70
2008,SEP,4486.778,-2.27
2008,OCT,4486.544,-2.50
2008,NOV,4486.766,-2.28
2008,DEC,4487.104,-1.94
2009,JAN,4487.545,-1.50
2009,FEB,4488.116,-0.93
2009,MAR,4488.476,-0.57
2009,APR,4488.976,-0.07
2009,MAY,4489.478,0.43
2009,JUN,4489.520,0.48
2009,JUL,4489.144,0.10
2009,AUG,4488.496,-0.55
2009,SEP,4487.949,-1.10
2009,OCT,4487.667,-1.38
2009,NOV,4487.907,-1.14
2009,DEC,4488.278,-0.77
2010,JAN,4488.807,-0.24
2010,FEB,4489.070,0.03
2010,MAR,4488.888,-0.16
2010,APR,4489.022,-0.02
2010,MAY,4488.962,-0.08
2010,JUN,4488.959,-0.09
2010,JUL,4488.392,-0.65
2010,AUG,4487.662,-1.38
2010,SEP,4486.962,-2.08
2010,OCT,4486.784,-2.26
2010,NOV,4487.055,-1.99
2010,DEC,4487.556,-1.49
2011,JAN,4488.290,-0.75
2011,FEB,4488.978,-0.07
2011,MAR,4489.251,0.21
2011,APR,4489.458,0.41
2011,MAY,4490.255,1.21
2011,JUN,4491.190,2.15
2011,JUL,4491.190,2.15
2011,AUG,4490.382,1.34
2011,SEP,4489.515,0.47
2011,OCT,4489.073,0.03
2011,NOV,4488.875,-0.17
2011,DEC,4488.923,-0.12
2012,JAN,4489.293,0.25
2012,FEB,4489.342,0.30
2012,MAR,4489.303,0.26
2012,APR,4489.202,0.16
2012,MAY,4488.961,-0.08
2012,JUN,4488.502,-0.54
2012,JUL,4487.559,-1.49
2012,AUG,4486.737,-2.31
2012,SEP,4486.152,-2.89
2012,OCT,4485.983,-3.06
2012,NOV,4486.255,-2.79
2012,DEC,4486.648,-2.40
2013,JAN,4487.076,-1.97
2013,FEB,4487.443,-1.60
2013,MAR,4487.866,-1.18
2013,APR,4487.957,-1.09
2013,MAY,4487.874,-1.17
2013,JUN,4487.386,-1.66
2013,JUL,4486.663,-2.38
2013,AUG,4485.848,-3.20
2013,SEP,4485.366,-3.68
2013,OCT,4485.217,-3.83
2013,NOV,4485.414,-3.63
2013,DEC,4485.714,-3.33
2014,JAN,4486.064,-2.98
2014,FEB,4486.525,-2.52
2014,MAR,4486.821,-2.22
2014,APR,4486.923,-2.12
2014,MAY,4486.648,-2.40
2014,JUN,4486.124,-2.92
2014,JUL,4485.411,-3.63
2014,AUG,4484.739,-4.31
2014,SEP,4484.431,-4.61
2014,OCT,4484.322,-4.72
2014,NOV,4484.388,-4.66
2014,DEC,4484.755,-4.29
2015,JAN,4485.199,-3.85
2015,FEB,4485.478,-3.57
2015,MAR,4485.661,-3.38
2015,APR,4485.526,-3.52
2015,MAY,4485.637,-3.41
2015,JUN,4485.441,-3.60
2015,JUL,4484.663,-4.38
2015,AUG,4483.977,-5.07
2015,SEP,4483.387,-5.66
2015,OCT,4483.170,-5.88
2015,NOV,4483.218,-5.83
2015,DEC,4483.574,-5.47
2016,JAN,4483.980,-5.07
2016,FEB,4484.366,-4.68
2016,MAR,4484.731,-4.31
2016,APR,4484.853,-4.19
2016,MAY,4484.586,-4.46
2016,JUN,4484.448,-4.60
2016,JUL,4483.508,-5.54
2016,AUG,4482.687,-6.36
2016,SEP,4482.039,-7.01
2016,OCT,4482.135,-6.91
2016,NOV,4482.285,-6.76
2016,DEC,4482.537,-6.51
2017,JAN,4483.102,-5.94
2017,FEB,4483.853,-5.19
2017,MAR,4484.702,-4.34
2017,APR,4485.501,-3.54
2017,MAY,4486.125,-2.92
2017,JUN,4486.561,-2.48
2017,JUL,4486.154,-2.89
2017,AUG,4485.594,-3.45
2017,SEP,4485.045,-4.00
2017,OCT,4484.975,-4.07
2017,NOV,4485.090,-3.96
2017,DEC,4485.367,-3.68
2018,JAN,4485.736,-3.31
2018,FEB,4486.080,-2.97
2018,MAR,4486.361,-2.68
2018,APR,4486.617,-2.43
2018,MAY,4486.406,-2.64
2018,JUN,4486.195,-2.85
2018,JUL,4485.393,-3.65
2018,AUG,4484.678,-4.37
2018,SEP,4483.968,-5.08
2018,OCT,4484.168,-4.88
2018,NOV,4484.364,-4.68
2018,DEC,4484.491875,-4.71
2019,Jan,4484.507,-4.54
2019,Feb,4485.035,-4.01
2019,Mar,4485.485,-3.56
2019,Apr,4485.941,-3.10
2019,May,4486.615,-2.43
2019,Jun,4487.991,-1.05
2019,Jul,4488.605,-0.44
2019,Aug,4488.097,-0.95
2019,Sep,4487.505,-1.54
2019,Oct,4487.231,-1.81
2019,Nov,4487.403,-1.64
2019,Dec,4487.713,-1.33
2020,Jan,4488.309,-0.74
2020,Feb,4488.659,-0.39
2020,Mar,4488.716,-0.33
2020,Apr,4488.950,-0.09
2020,May,4488.730,-0.31
2020,Jun,4488.475,-0.57
