"date","SiteCode","Month","DOY","BGA","Chl","DO","DOsat","CDOM","pH","Specific.Conductance","Temperature","Turbidity"
2016-08-25,"4917390",8,238,NA,NA,6.70666666666667,NA,NA,NA,NA,NA,NA
2016-08-26,"4917390",8,239,NA,NA,6.42760416666667,NA,NA,NA,NA,NA,NA
2016-08-27,"4917390",8,240,NA,NA,6.0390625,NA,NA,NA,NA,NA,NA
2016-08-27,"4917715",8,240,NA,NA,NA,NA,NA,NA,NA,NA,15.0400320833333
2016-08-28,"4917390",8,241,NA,NA,5.87708333333333,NA,NA,NA,NA,NA,NA
2016-08-28,"4917715",8,241,NA,NA,NA,NA,NA,NA,NA,NA,16.4023958333333
2016-08-29,"4917365",8,242,1.07796296295,NA,NA,NA,NA,NA,NA,NA,NA
2016-08-29,"4917390",8,242,NA,NA,6.65864583333333,NA,NA,NA,NA,NA,NA
2016-08-29,"4917715",8,242,0.944270835416667,NA,NA,NA,NA,NA,NA,NA,19.9880208333333
2016-08-30,"4917365",8,243,1.03229166666667,2.76666666666667,8.53604166666667,97.077826847465,NA,8.81791666666667,2814.875,21.5011458333333,23.0917708333333
2016-08-30,"4917390",8,243,1.63020833333333,6.74583333333333,8.53489583333333,97.844322497393,NA,8.81375,2568.5,21.9091666666667,34.8988541666667
2016-08-30,"4917715",8,243,1.01041666666667,5.34479166666667,10.2305208333333,118.421440729433,NA,8.65614583333333,2753.84375,22.31375,24.0773958333333
2016-08-31,"4917365",8,244,0.6875,2.696875,8.95072916666667,103.980104849622,NA,8.84354166666667,2814.51041666667,22.6008333333333,26.5229166666667
2016-08-31,"4917390",8,244,1.36666666666667,5.83229166666667,7.63645833333333,88.4829945689522,NA,8.75947916666667,2632.0625,22.4916666666667,34.8783333333333
2016-08-31,"4917715",8,244,0.810416666666667,3.66458333333333,9.37135416666667,109.904296361151,NA,8.64458333333333,2764.82291666667,23.1238541666667,24.1563541666667
2016-09-01,"4917365",9,245,0.873958333333333,2.89791666666667,7.715625,90.0206901052979,NA,8.79625,2824.22916666667,22.8538541666667,68.6926041666667
2016-09-01,"4917390",9,245,1.35208333333333,5.565625,6.13947916666667,71.087068251625,NA,8.67354166666667,2655.98958333333,22.455,63.42125
2016-09-01,"4917715",9,245,0.797916666666667,3.43020833333333,7.17677083333333,83.8081304282661,NA,8.55166666666667,2782.05208333333,22.8996875,64.729375
2016-09-02,"4917365",9,246,1.13020833333333,3.51770833333333,6.95510416666667,80.0897102528217,NA,8.72604166666667,2829.125,22.1336458333333,87.3528125
2016-09-02,"4917390",9,246,1.640625,6.121875,5.71041666666667,65.6970397037712,NA,8.60208333333333,2677.08333333333,22.0760416666667,72.9404166666667
2016-09-02,"4917715",9,246,0.796875,3.86458333333333,7.48541666666667,86.0037745189534,NA,8.55760416666667,2785.98958333333,22.0175,58.1225
2016-09-03,"4917365",9,247,1.396875,4.08020833333333,6.88677083333333,79.1507331135578,NA,8.6909375,2830.8125,22.0516666666667,127.192291666667
2016-09-03,"4917390",9,247,1.82708333333333,6.52083333333333,5.8140625,66.7598216688194,NA,8.5659375,2699.41666666667,22.0035416666667,97.9908333333333
2016-09-03,"4917715",9,247,0.945833333333333,3.86145833333333,7.37375,83.5832134565014,NA,8.57958333333333,2798.10416666667,21.3555208333333,102.269166666667
2016-09-04,"4917365",9,248,1.65520833333333,4.103125,6.7234375,74.825466172255,NA,8.669375,2832.16666666667,20.4458333333333,242.123333333333
2016-09-04,"4917390",9,248,2.49270833333333,6.83020833333333,5.42833333333333,60.9001974435551,NA,8.48885416666667,2676.83333333333,20.861875,223.4975
2016-09-04,"4917715",9,248,1.653125,5.575,7.29145833333333,80.9810941856337,NA,8.59322916666667,2784.61458333333,20.3346875,172.316770833333
2016-09-05,"4917365",9,249,2.00625,4.70104166666667,7.3275,78.4778172393795,NA,8.6421875,2842.48958333333,18.4960416666667,230.7640625
2016-09-05,"4917390",9,249,2.80208333333333,7.76979166666667,6.06114583333333,65.4591410000114,NA,8.4634375,2640.45833333333,18.9152083333333,219.803020833333
2016-09-05,"4917715",9,249,3.11979166666667,8.94895833333333,7.99177083333333,85.7414814230299,NA,8.65802083333333,2772.67708333333,18.595,212.912604166667
2016-09-06,"4917365",9,250,1.82916666666667,4.55833333333333,7.27197916666667,77.3497768014641,NA,8.60854166666667,2858.76041666667,18.1448958333333,86.4719791666667
2016-09-06,"4917390",9,250,2.42708333333333,7.171875,6.30489583333333,67.4968129131312,NA,8.49479166666667,2673.27083333333,18.4633333333333,91.2686458333333
2016-09-06,"4917715",9,250,3.01875,8.98645833333333,8.2253125,87.8302945358481,NA,8.67875,2785,18.2920833333333,66.650625
2016-09-07,"4917365",9,251,1.54583333333333,4.37604166666667,8.16770833333333,87.4990366280515,NA,8.67364583333333,2865.77083333333,18.5146875,37.62875
2016-09-07,"4917390",9,251,1.91145833333333,6.453125,7.28447916666667,78.353382353109,NA,8.58052083333333,2696.94791666667,18.6727083333333,39.8697916666667
2016-09-07,"4917715",9,251,2.31979166666667,6.82291666666667,8.8203125,95.1806270602431,NA,8.70708333333333,2790.84375,18.8072916666667,39.2638541666667
2016-09-08,"4917365",9,252,1.00520833333333,3.90833333333333,8.93364583333333,97.0609800484011,NA,8.75947916666667,2870.02083333333,19.161875,30.2660416666667
2016-09-08,"4917390",9,252,1.48645833333333,6.2125,8.5903125,93.0588291782789,NA,8.68072916666667,2708.80208333333,19.01,27.8059375
2016-09-08,"4917715",9,252,1.65625,6.1,9.36489583333333,101.868967910401,NA,8.7765625,2817.34375,19.2298958333333,39.0580208333333
