Year,Month,MonthLab,Elevation (ft),Rel_comp
2007,4,APR,4489.176,0.13
2007,5,MAY,4488.946,-0.1
2007,6,JUN,4488.514,-0.53
2007,7,JUL,4487.817,-1.23
2007,8,AUG,4487.105,-1.94
2007,9,SEP,4486.484,-2.56
2007,10,OCT,4486.383,-2.66
2007,11,NOV,4486.542,-2.5
2007,12,DEC,4486.935,-2.11
2008,1,JAN,4487.4,-1.65
2008,2,FEB,4487.891,-1.15
2008,3,MAR,4488.264,-0.78
2008,4,APR,4488.565,-0.48
2008,5,MAY,4488.674,-0.37
2008,6,JUN,4488.656,-0.39
2008,7,JUL,4488.163,-0.88
2008,8,AUG,4487.345,-1.7
2008,9,SEP,4486.778,-2.27
2008,10,OCT,4486.544,-2.5
2008,11,NOV,4486.766,-2.28
2008,12,DEC,4487.104,-1.94
2009,1,JAN,4487.545,-1.5
2009,2,FEB,4488.116,-0.93
2009,3,MAR,4488.476,-0.57
2009,4,APR,4488.976,-0.07
2009,5,MAY,4489.478,0.43
2009,6,JUN,4489.52,0.48
2009,7,JUL,4489.144,0.1
2009,8,AUG,4488.496,-0.55
2009,9,SEP,4487.949,-1.1
2009,10,OCT,4487.667,-1.38
2009,11,NOV,4487.907,-1.14
2009,12,DEC,4488.278,-0.77
2010,1,JAN,4488.807,-0.24
2010,2,FEB,4489.07,0.03
2010,3,MAR,4488.888,-0.16
2010,4,APR,4489.022,-0.02
2010,5,MAY,4488.962,-0.08
2010,6,JUN,4488.959,-0.09
2010,7,JUL,4488.392,-0.65
2010,8,AUG,4487.662,-1.38
2010,9,SEP,4486.962,-2.08
2010,10,OCT,4486.784,-2.26
2010,11,NOV,4487.055,-1.99
2010,12,DEC,4487.556,-1.49
2011,1,JAN,4488.29,-0.75
2011,2,FEB,4488.978,-0.07
2011,3,MAR,4489.251,0.21
2011,4,APR,4489.458,0.41
2011,5,MAY,4490.255,1.21
2011,6,JUN,4491.19,2.15
2011,7,JUL,4491.19,2.15
2011,8,AUG,4490.382,1.34
2011,9,SEP,4489.515,0.47
2011,10,OCT,4489.073,0.03
2011,11,NOV,4488.875,-0.17
2011,12,DEC,4488.923,-0.12
2012,1,JAN,4489.293,0.25
2012,2,FEB,4489.342,0.3
2012,3,MAR,4489.303,0.26
2012,4,APR,4489.202,0.16
2012,5,MAY,4488.961,-0.08
2012,6,JUN,4488.502,-0.54
2012,7,JUL,4487.559,-1.49
2012,8,AUG,4486.737,-2.31
2012,9,SEP,4486.152,-2.89
2012,10,OCT,4485.983,-3.06
2012,11,NOV,4486.255,-2.79
2012,12,DEC,4486.648,-2.4
2013,1,JAN,4487.076,-1.97
2013,2,FEB,4487.443,-1.6
2013,3,MAR,4487.866,-1.18
2013,4,APR,4487.957,-1.09
2013,5,MAY,4487.874,-1.17
2013,6,JUN,4487.386,-1.66
2013,7,JUL,4486.663,-2.38
2013,8,AUG,4485.848,-3.2
2013,9,SEP,4485.366,-3.68
2013,10,OCT,4485.217,-3.83
2013,11,NOV,4485.414,-3.63
2013,12,DEC,4485.714,-3.33
2014,1,JAN,4486.064,-2.98
2014,2,FEB,4486.525,-2.52
2014,3,MAR,4486.821,-2.22
2014,4,APR,4486.923,-2.12
2014,5,MAY,4486.648,-2.4
2014,6,JUN,4486.124,-2.92
2014,7,JUL,4485.411,-3.63
2014,8,AUG,4484.739,-4.31
2014,9,SEP,4484.431,-4.61
2014,10,OCT,4484.322,-4.72
2014,11,NOV,4484.388,-4.66
2014,12,DEC,4484.755,-4.29
2015,1,JAN,4485.199,-3.85
2015,2,FEB,4485.478,-3.57
2015,3,MAR,4485.661,-3.38
2015,4,APR,4485.526,-3.52
2015,5,MAY,4485.637,-3.41
2015,6,JUN,4485.441,-3.6
2015,7,JUL,4484.663,-4.38
2015,8,AUG,4483.977,-5.07
2015,9,SEP,4483.387,-5.66
2015,10,OCT,4483.17,-5.88
2015,11,NOV,4483.218,-5.83
2015,12,DEC,4483.574,-5.47
2016,1,JAN,4483.98,-5.07
2016,2,FEB,4484.366,-4.68
2016,3,MAR,4484.731,-4.31
2016,4,APR,4484.853,-4.19
2016,5,MAY,4484.586,-4.46
2016,6,JUN,4484.448,-4.6
2016,7,JUL,4483.508,-5.54
2016,8,AUG,4482.687,-6.36
2016,9,SEP,4482.039,-7.01
2016,10,OCT,4482.135,-6.91
2016,11,NOV,4482.285,-6.76
2016,12,DEC,4482.537,-6.51
2017,1,JAN,4483.102,-5.94
2017,2,FEB,4483.853,-5.19
2017,3,MAR,4484.702,-4.34
2017,4,APR,4485.501,-3.54
2017,5,MAY,4486.125,-2.92
2017,6,JUN,4486.561,-2.48
2017,7,JUL,4486.154,-2.89
2017,8,AUG,4485.594,-3.45
2017,9,SEP,4485.045,-4
2017,10,OCT,4484.975,-4.07
2017,11,NOV,4485.09,-3.96
2017,12,DEC,4485.349,-3.7
