"Date","Year","Month","Fraction","Depth","Monitoring.Location.ID","Result.Unit","Nitrogen","Phosphate-phosphorus","NP_mass","NP_mol"
1990-10-02,1990,10,"Dissolved","Surface",4917770,"mg/l",NA,0.062,NA,NA
1990-10-02,1990,10,"Total","Bottom",4917500,"mg/l",NA,0.39,NA,NA
1990-10-02,1990,10,"Total","Bottom",4917770,"mg/l",NA,0.22,NA,NA
1990-10-02,1990,10,"Total","Surface",4917340,"mg/l",NA,0.36,NA,NA
1990-10-02,1990,10,"Total","Surface",4917390,"mg/l",NA,0.21,NA,NA
1990-10-02,1990,10,"Total","Surface",4917500,"mg/l",NA,0.34,NA,NA
1990-10-02,1990,10,"Total","Surface",4917700,"mg/l",NA,0.25,NA,NA
1990-10-02,1990,10,"Total","Surface",4917710,"mg/l",NA,0.17,NA,NA
1990-10-02,1990,10,"Total","Surface",4917770,"mg/l",NA,0.21,NA,NA
1990-10-18,1990,10,"Dissolved","Bottom",4917310,"mg/l",NA,0.037,NA,NA
1990-10-18,1990,10,"Dissolved","Bottom",4917320,"mg/l",NA,0.038,NA,NA
1990-10-18,1990,10,"Dissolved","Bottom",4917500,"mg/l",NA,0.028,NA,NA
1990-10-18,1990,10,"Dissolved","Bottom",4917770,"mg/l",NA,0.036,NA,NA
1990-10-18,1990,10,"Dissolved","Surface",4917310,"mg/l",NA,0.054,NA,NA
1990-10-18,1990,10,"Dissolved","Surface",4917320,"mg/l",NA,0.027,NA,NA
1990-10-18,1990,10,"Dissolved","Surface",4917330,"mg/l",NA,0.023,NA,NA
1990-10-18,1990,10,"Dissolved","Surface",4917340,"mg/l",NA,0.028,NA,NA
1990-10-18,1990,10,"Dissolved","Surface",4917370,"mg/l",NA,0.063,NA,NA
1990-10-18,1990,10,"Dissolved","Surface",4917380,"mg/l",NA,0.026,NA,NA
1990-10-18,1990,10,"Dissolved","Surface",4917390,"mg/l",NA,0.029,NA,NA
1990-10-18,1990,10,"Dissolved","Surface",4917400,"mg/l",NA,0.057,NA,NA
1990-10-18,1990,10,"Dissolved","Surface",4917410,"mg/l",NA,0.031,NA,NA
1990-10-18,1990,10,"Dissolved","Surface",4917420,"mg/l",NA,0.023,NA,NA
1990-10-18,1990,10,"Dissolved","Surface",4917500,"mg/l",NA,0.025,NA,NA
1990-10-18,1990,10,"Dissolved","Surface",4917510,"mg/l",NA,0.029,NA,NA
1990-10-18,1990,10,"Dissolved","Surface",4917520,"mg/l",NA,0.029,NA,NA
1990-10-18,1990,10,"Dissolved","Surface",4917620,"mg/l",NA,0.027,NA,NA
1990-10-18,1990,10,"Dissolved","Surface",4917700,"mg/l",NA,0.026,NA,NA
