Lab_Name,Project,SiteName,Monitoring Location ID,Monitoring Location Latitude,Monitoring Location Longitude,Date,SampleType,SampleDepth,SampleZone,CollectionProcedure,Genus,Taxon,Division,NumberinStand,RankinStand,RelativeDensity,turalUnitsperML,CellperML,CellVolume_u3mL
Rushforth Phycology,Utah Lakes and Reservoirs,UTAH LAKE 1 MILE WEST OF PROVO MARINA,4917390,40.23717289,-111.7646472,9/15/2004,Total Plankton Sample,,Surface,Water column,Scenedesmus,Scenedesmus species,Chlorophyta,5,11,1.1,28,112,42000
Rushforth Phycology,Utah Lakes and Reservoirs,UTAH LAKE 1 MILE WEST OF PROVO MARINA,4917390,40.23717289,-111.7646472,9/15/2004,Total Plankton Sample,,Surface,Water column,Sphaerocystis,Sphaerocystis schroeteri,Chlorophyta,1,6,6.7,5.6,627,248998.4
Rushforth Phycology,Utah Lakes and Reservoirs,UTAH LAKE 1 MILE WEST OF PROVO MARINA,4917390,40.23717289,-111.7646472,9/15/2004,Total Plankton Sample,,Surface,Water column,,unknown spherical chlorophyta,Chlorophyta,11,10,1.7,61.6,62,61600
Rushforth Phycology,Utah Lakes and Reservoirs,UTAH LAKE 2 MI E OF SARATOGA SPRINGS #12,4917520,40.34216863,-111.8713257,9/21/2005,Total Plankton Sample,,Surface,Water column,Aphanizomenon,Aphanizomenon flos-aquae,Cyanophyta,18,2,26.5,100.8,6149,1915200
Rushforth Phycology,Utah Lakes and Reservoirs,UTAH LAKE 2 MI E OF SARATOGA SPRINGS #12,4917520,40.34216863,-111.8713257,9/21/2005,Total Plankton Sample,,Surface,Water column,Centric diatom,centric diatoms,Bacillariophyta,35,6,1.9,196,196,137200
Rushforth Phycology,Utah Lakes and Reservoirs,UTAH LAKE 2 MI E OF SARATOGA SPRINGS #12,4917520,40.34216863,-111.8713257,9/21/2005,Total Plankton Sample,,Surface,Water column,Ceratium,Ceratium hirundinella,Dinophyta,14,1,42.2,78.4,78,3051955
Rushforth Phycology,Utah Lakes and Reservoirs,UTAH LAKE 2 MI E OF SARATOGA SPRINGS #12,4917520,40.34216863,-111.8713257,9/21/2005,Total Plankton Sample,,Surface,Water column,Melosira,Melosira granulata,Bacillariophyta,1,8,0.8,5.6,45,54880
Rushforth Phycology,Utah Lakes and Reservoirs,UTAH LAKE 2 MI E OF SARATOGA SPRINGS #12,4917520,40.34216863,-111.8713257,9/21/2005,Total Plankton Sample,,Surface,Water column,Microcystis,Microcystis incerta,Cyanophyta,2,5,2.3,11.2,1120,168000
Rushforth Phycology,Utah Lakes and Reservoirs,UTAH LAKE 2 MI E OF SARATOGA SPRINGS #12,4917520,40.34216863,-111.8713257,9/21/2005,Total Plankton Sample,,Surface,Water column,Oocystis,Oocystis borgei,Chlorophyta,9,4,2.8,50.4,202,201600
Rushforth Phycology,Utah Lakes and Reservoirs,UTAH LAKE 2 MI E OF SARATOGA SPRINGS #12,4917520,40.34216863,-111.8713257,9/21/2005,Total Plankton Sample,,Surface,Water column,Pennate diatom,pennate diatoms,Bacillariophyta,1,9,0.1,5.6,6,4480
Rushforth Phycology,Utah Lakes and Reservoirs,UTAH LAKE 2 MI E OF SARATOGA SPRINGS #12,4917520,40.34216863,-111.8713257,9/21/2005,Total Plankton Sample,,Surface,Water column,Stephanodiscus,Stephanodiscus niagarae,Bacillariophyta,9,3,22.3,50.4,50,1612800
Rushforth Phycology,Utah Lakes and Reservoirs,UTAH LAKE 2 MI E OF SARATOGA SPRINGS #12,4917520,40.34216863,-111.8713257,9/21/2005,Total Plankton Sample,,Surface,Water column,,unknown spherical chlorophyta,Chlorophyta,15,7,1.2,84,84,84000
Rushforth Phycology,Utah Lakes and Reservoirs,Utah Lake 0.5 miles West of Geneva Discharge #15-A,4917310,40.32087284,-111.7775375,9/12/2006,Total Plankton Sample,,Surface,Water column,Dolichospermum,Dolichospermum flosaquae,Cyanophyta,500,1,96.7,1400,51800,53200000
Rushforth Phycology,Utah Lakes and Reservoirs,Utah Lake 0.5 miles West of Geneva Discharge #15-A,4917310,40.32087284,-111.7775375,9/12/2006,Total Plankton Sample,,Surface,Water column,Ceratium,Ceratium hirundinella,Dinophyta,16,2,3.2,44.8,45,1743974
Rushforth Phycology,Utah Lakes and Reservoirs,Utah Lake 0.5 miles West of Geneva Discharge #15-A,4917310,40.32087284,-111.7775375,9/12/2006,Total Plankton Sample,,Surface,Water column,Closteriopsis,Closteriopsis longissima var. tropica,Chlorophyta,1,5,0,2.8,3,2800
Rushforth Phycology,Utah Lakes and Reservoirs,Utah Lake 0.5 miles West of Geneva Discharge #15-A,4917310,40.32087284,-111.7775375,9/12/2006,Total Plankton Sample,,Surface,Water column,Closterum,Closterum species,Chlorophyta,1,3,0.2,2.8,3,84000
Rushforth Phycology,Utah Lakes and Reservoirs,Utah Lake 0.5 miles West of Geneva Discharge #15-A,4917310,40.32087284,-111.7775375,9/12/2006,Total Plankton Sample,,Surface,Water column,Pennate diatom,pennate diatoms,Bacillariophyta,2,4,0,5.6,6,4480
