Activity Relative Depth,Characteristic Name,Sample Fraction,Parameter,Fraction,Depth
Surface,"Carbonaceous biochemical oxygen demand, standard conditions",Dissolved,"Carbonaceous biochemical oxygen demand, standard conditions",Dissolved,Surface
Surface,Carbonate,Total,Carbonate,Total,Surface
Bottom,Carbonate,Total,Carbonate,Total,Bottom
,Carbonate,Total,Carbonate,Total,
Surface,Chemical oxygen demand,Total,Chemical oxygen demand,Total,Surface
,Chemical oxygen demand,Total,Chemical oxygen demand,Total,
Bottom,Chemical oxygen demand,Total,Chemical oxygen demand,Total,Bottom
Surface,Chlordane,Total,Chlordane,Total,Surface
Bottom,Chlordane,Total,Chlordane,Total,Bottom
,Chlordane,Total,Chlordane,Total,
Surface,Chloride,Dissolved,Chloride,Dissolved,Surface
Bottom,Chloride,Dissolved,Chloride,Dissolved,Bottom
,Chloride,Dissolved,Chloride,Dissolved,
Surface,Chloride,Total,Chloride,Total,Surface
Surface,Chlorophyll a,Total,Chlorophyll a,Total,Surface
Surface,"Chlorophyll a, corrected for pheophytin",Total,Chlorophyll a,Total,Surface
Surface,"Chlorophyll a, uncorrected for pheophytin",Total,Chlorophyll a,Total,Surface
Bottom,"Chlorophyll a, uncorrected for pheophytin",Total,Chlorophyll a,Total,Bottom
,"Chlorophyll a, uncorrected for pheophytin",Total,Chlorophyll a,Total,
Surface,Chlorthal-dimethyl,Total,Chlorthal-dimethyl,Total,Surface
Bottom,Chlorthal-dimethyl,Total,Chlorthal-dimethyl,Total,Bottom
Surface,Chromium,Dissolved,Chromium,Dissolved,Surface
Surface,Chromium,Acid Soluble,Chromium,Total,Surface
Bottom,Chromium,Acid Soluble,Chromium,Total,Bottom
Bottom,Chromium,Dissolved,Chromium,Dissolved,Bottom
,Chromium,Dissolved,Chromium,Dissolved,
Surface,Copper,Acid Soluble,Copper,Total,Surface
Bottom,Copper,Acid Soluble,Copper,Total,Bottom
Bottom,Copper,Dissolved,Copper,Dissolved,Bottom
Surface,Copper,Dissolved,Copper,Dissolved,Surface
,Copper,Dissolved,Copper,Dissolved,
Bottom,Depth,Total,Depth,Total,Bottom
,"Depth, data-logger (ported)",,"Depth, data-logger (ported)",N/A,N/A
Surface,"Depth, Secchi disk depth",Total,"Depth, Secchi disk depth",N/A,N/A
Bottom,"Depth, Secchi disk depth",Total,"Depth, Secchi disk depth",N/A,N/A
Surface,"Depth, Secchi disk depth",,"Depth, Secchi disk depth",N/A,N/A
,"Depth, Secchi disk depth",,"Depth, Secchi disk depth",N/A,N/A
Bottom,"Depth, Secchi disk depth",,"Depth, Secchi disk depth",N/A,N/A
Surface,Dieldrin,Total,Dieldrin,Total,Surface
Bottom,Dieldrin,Total,Dieldrin,Total,Bottom
,Dieldrin,Total,Dieldrin,Total,
Surface,Dissolved oxygen (DO),Total,Dissolved oxygen (DO),N/A,Surface
Bottom,Dissolved oxygen (DO),Total,Dissolved oxygen (DO),N/A,Bottom
,Dissolved oxygen (DO),Total,Dissolved oxygen (DO),N/A,
Surface,Dissolved oxygen (DO),,Dissolved oxygen (DO),N/A,Surface
,Dissolved oxygen (DO),,Dissolved oxygen (DO),N/A,
Bottom,Dissolved oxygen (DO),,Dissolved oxygen (DO),N/A,Bottom
Surface,Dissolved oxygen saturation,Total,Dissolved oxygen saturation,N/A,Surface
Bottom,Dissolved oxygen saturation,Total,Dissolved oxygen saturation,N/A,Bottom
,Dissolved oxygen saturation,Total,Dissolved oxygen saturation,N/A,
Surface,Dissolved oxygen saturation,,Dissolved oxygen saturation,N/A,Surface
,Dissolved oxygen saturation,,Dissolved oxygen saturation,N/A,
Bottom,Dissolved oxygen saturation,,Dissolved oxygen saturation,N/A,Bottom
Surface,Endosulfan sulfate,Total,Endosulfan sulfate,Total,Surface
