MonitoringLocationIdentifier,Date,Chlorophyll a,"Depth, Secchi disk depth",Phosphate-phosphorus,TSIchl,TSItp,TSIsd,Year,Month,Monitoring.Location.ID,Monitoring.Location.Name,Provo,Monitoring.Location.Latitude,Monitoring.Location.Longitude
UTAHDWQ_WQX-4917310,1999-08-19,150.9,0.3,0.076,79.813016358241,65.6464134320659,77.3492481103367,1999,8,4917310,UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A,0,40.32087284,-111.7775375
UTAHDWQ_WQX-4917310,2001-07-19,3.8,0.3,0.088,43.6963604646443,67.7281827655905,77.3492481103367,2001,7,4917310,UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A,0,40.32087284,-111.7775375
UTAHDWQ_WQX-4917310,2001-09-21,,0.1,,,,93.1802511900442,2001,9,4917310,UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A,0,40.32087284,-111.7775375
UTAHDWQ_WQX-4917310,2002-06-14,10.3,0.3,,53.4783316122612,,77.3492481103367,2002,6,4917310,UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A,0,40.32087284,-111.7775375
UTAHDWQ_WQX-4917310,2002-08-01,30.7,0.2,0.074,64.1920166415588,65.2677243234992,83.1920003181754,2002,8,4917310,UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A,0,40.32087284,-111.7775375
UTAHDWQ_WQX-4917310,2003-07-03,0.5,0.2,,23.8002261587069,,83.1920003181754,2003,7,4917310,UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A,0,40.32087284,-111.7775375
UTAHDWQ_WQX-4917310,2003-07-31,29.4,0.2,0.101,63.7675577553209,69.6847113391459,83.1920003181754,2003,7,4917310,UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A,0,40.32087284,-111.7775375
UTAHDWQ_WQX-4917310,2004-06-22,6.6,0.38,0.039,49.1121532570077,56.172575375041,73.9428858184312,2004,6,4917310,UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A,0,40.32087284,-111.7775375
UTAHDWQ_WQX-4917310,2005-06-02,,0.25,,,,79.9765017437376,2005,6,4917310,UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A,0,40.32087284,-111.7775375
UTAHDWQ_WQX-4917310,2005-07-07,4.1,0.5,0.021,44.4417822120977,47.3822186156726,69.9882508718688,2005,7,4917310,UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A,0,40.32087284,-111.7775375
UTAHDWQ_WQX-4917310,2005-08-05,21.4,0.3,0.033,60.6518649450928,53.800407372824,77.3492481103367,2005,8,4917310,UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A,0,40.32087284,-111.7775375
UTAHDWQ_WQX-4917310,2005-09-28,19.1,0.2,0.037,59.5364425668659,55.425034359548,83.1920003181754,2005,9,4917310,UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A,0,40.32087284,-111.7775375
UTAHDWQ_WQX-4917310,2006-05-18,6.6,1,0.054,49.1121532570077,60.7935734612127,60,2006,5,4917310,UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A,0,40.32087284,-111.7775375
UTAHDWQ_WQX-4917310,2006-06-29,3.1,0.7,0.029,41.6990547137277,51.9656007858079,65.1396859421571,2006,6,4917310,UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A,0,40.32087284,-111.7775375
UTAHDWQ_WQX-4917310,2006-07-13,5.2,0.3,0.032,46.7733411170122,53.3634498197561,77.3492481103367,2006,7,4917310,UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A,0,40.32087284,-111.7775375
UTAHDWQ_WQX-4917310,2006-09-12,,0.3,,,,77.3492481103367,2006,9,4917310,UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A,0,40.32087284,-111.7775375
UTAHDWQ_WQX-4917310,2007-06-20,,0.5,,,,69.9882508718688,2007,6,4917310,UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A,0,40.32087284,-111.7775375
UTAHDWQ_WQX-4917310,2007-07-10,,0.35,,,,75.127936814026,2007,7,4917310,UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A,0,40.32087284,-111.7775375
UTAHDWQ_WQX-4917310,2007-08-16,,0.3,,,,77.3492481103367,2007,8,4917310,UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A,0,40.32087284,-111.7775375
UTAHDWQ_WQX-4917310,2008-07-23,,0.4,,,,73.2037494463066,2008,7,4917310,UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A,0,40.32087284,-111.7775375
UTAHDWQ_WQX-4917310,2008-08-04,,0.19,,,,83.9311366903,2008,8,4917310,UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A,0,40.32087284,-111.7775375
UTAHDWQ_WQX-4917310,2008-09-17,,0.3,,,,77.3492481103367,2008,9,4917310,UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A,0,40.32087284,-111.7775375
UTAHDWQ_WQX-4917310,2009-06-22,11.1,0.2,0.061,54.2121315126024,62.524408871261,83.1920003181754,2009,6,4917310,UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A,0,40.32087284,-111.7775375
UTAHDWQ_WQX-4917310,2009-07-06,13.1,0.6,0.054,55.8373259783317,60.7935734612127,67.3609972384679,2009,7,4917310,UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A,0,40.32087284,-111.7775375
UTAHDWQ_WQX-4917310,2009-08-03,57.9,0.3,0.096,70.4160175427195,68.9637443188433,77.3492481103367,2009,8,4917310,UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A,0,40.32087284,-111.7775375
UTAHDWQ_WQX-4917310,2009-09-17,4.1,0.35,0.05,44.4417822120977,59.7007266770797,75.127936814026,2009,9,4917310,UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A,0,40.32087284,-111.7775375
UTAHDWQ_WQX-4917310,2009-10-07,32.1,0.25,0.0643,64.6294776556339,63.2725467636588,79.9765017437376,2009,10,4917310,UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A,0,40.32087284,-111.7775375
UTAHDWQ_WQX-4917310,2010-06-14,2.2,0.3,0.047,38.3347667051735,58.8220959442828,77.3492481103367,2010,6,4917310,UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A,0,40.32087284,-111.7775375
UTAHDWQ_WQX-4917310,2010-07-15,10,,0.06,53.1883597622716,62.2896927835538,,2010,7,4917310,UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A,0,40.32087284,-111.7775375
UTAHDWQ_WQX-4917310,2010-08-23,19.1,0.25,0.113,59.5364425668659,71.2789070257152,79.9765017437376,2010,8,4917310,UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A,0,40.32087284,-111.7775375
UTAHDWQ_WQX-4917310,2011-08-22,140.8,0.3,0.041,79.1334097529319,56.8827233472012,77.3492481103367,2011,8,4917310,UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A,0,40.32087284,-111.7775375
UTAHDWQ_WQX-4917310,2011-09-22,14.5,0.7,0.04,56.8333982508743,56.5320882484179,65.1396859421571,2011,9,4917310,UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A,0,40.32087284,-111.7775375
UTAHDWQ_WQX-4917310,2011-10-12,61.8,0.15,0.045,71.0554920053884,58.2046073547385,87.3374989822056,2011,10,4917310,UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A,0,40.32087284,-111.7775375
UTAHDWQ_WQX-4917310,2012-05-31,,0.2,0.047,,58.8220959442828,83.1920003181754,2012,5,4917310,UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A,0,40.32087284,-111.7775375
UTAHDWQ_WQX-4917310,2012-07-02,,0.24,0.038,,55.8037234681147,80.5647466847745,2012,7,4917310,UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A,0,40.32087284,-111.7775375
UTAHDWQ_WQX-4917310,2012-08-15,46.2,0.2,0.096,68.2015318192403,68.9637443188433,83.1920003181754,2012,8,4917310,UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A,0,40.32087284,-111.7775375
UTAHDWQ_WQX-4917310,2012-09-06,44.7,0.2,0.052,67.8777400508875,60.2576608038563,83.1920003181754,2012,9,4917310,UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A,0,40.32087284,-111.7775375
UTAHDWQ_WQX-4917310,2013-06-17,,0.24,0.077,,65.8320369903223,80.5647466847745,2013,6,4917310,UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A,0,40.32087284,-111.7775375
UTAHDWQ_WQX-4917310,2013-07-02,,0.3,0.066,,63.6430973367752,77.3492481103367,2013,7,4917310,UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A,0,40.32087284,-111.7775375
UTAHDWQ_WQX-4917310,2013-09-16,,0.2,0.165,,76.6544257293882,83.1920003181754,2013,9,4917310,UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A,0,40.32087284,-111.7775375
UTAHDWQ_WQX-4917310,2013-10-23,,0.3,0.075,,65.4583312122156,77.3492481103367,2013,10,4917310,UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A,0,40.32087284,-111.7775375
UTAHDWQ_WQX-4917310,2014-06-02,,,0.05,,59.7007266770797,,2014,6,4917310,UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A,0,40.32087284,-111.7775375
UTAHDWQ_WQX-4917310,2014-07-01,,,0.051,,59.9819239846854,,2014,7,4917310,UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A,0,40.32087284,-111.7775375
UTAHDWQ_WQX-4917310,2014-09-24,,0.13,0.107,,70.5041694493591,89.3995821390677,2014,9,4917310,UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A,0,40.32087284,-111.7775375
UTAHDWQ_WQX-4917310,2014-11-06,,0.35,0.037,,55.425034359548,75.127936814026,2014,11,4917310,UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A,0,40.32087284,-111.7775375
UTAHDWQ_WQX-4917310,2015-05-11,,0.32,0.058,,61.8082907497591,76.4192480207443,2015,5,4917310,UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A,0,40.32087284,-111.7775375
UTAHDWQ_WQX-4917310,2015-06-02,,0.25,0.052,,60.2576608038563,79.9765017437376,2015,6,4917310,UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A,0,40.32087284,-111.7775375
UTAHDWQ_WQX-4917310,2015-07-09,,0.17,0.197,,79.1714929480794,85.5338980922383,2015,7,4917310,UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A,0,40.32087284,-111.7775375
UTAHDWQ_WQX-4917310,2015-09-29,,0.3,0.073,,65.0745240643072,77.3492481103367,2015,9,4917310,UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A,0,40.32087284,-111.7775375
UTAHDWQ_WQX-4917310,2015-10-27,,0.3,0.088,,67.7281827655905,77.3492481103367,2015,10,4917310,UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A,0,40.32087284,-111.7775375
UTAHDWQ_WQX-4917310,2016-04-20,,0.2,0.115,,71.5280362227582,83.1920003181754,2016,4,4917310,UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A,0,40.32087284,-111.7775375
UTAHDWQ_WQX-4917310,2016-05-25,,0.2,0.074,,65.2677243234992,83.1920003181754,2016,5,4917310,UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A,0,40.32087284,-111.7775375
UTAHDWQ_WQX-4917310,2016-06-30,,0.2,0.078,,66.0152653389922,83.1920003181754,2016,6,4917310,UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A,0,40.32087284,-111.7775375
UTAHDWQ_WQX-4917310,2017-05-11,,0.25,0.061,,62.524408871261,79.9765017437376,2017,5,4917310,UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A,0,40.32087284,-111.7775375
UTAHDWQ_WQX-4917310,2017-06-15,,0.4,0.042,,57.2249085796238,73.2037494463066,2017,6,4917310,UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A,0,40.32087284,-111.7775375
UTAHDWQ_WQX-4917310,2017-07-11,,0.2,0.062,,62.7553082676403,83.1920003181754,2017,7,4917310,UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A,0,40.32087284,-111.7775375
UTAHDWQ_WQX-4917310,2017-08-08,,0.2,0.064,,63.2061397837073,83.1920003181754,2017,8,4917310,UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A,0,40.32087284,-111.7775375
