MonthLab,Year,Elevation..ft.,Rel_comp,Month
JAN,2002,4486.205,-2.84,1
FEB,2002,4486.605,-2.44,2
MAR,2002,4486.855,-2.19,3
APR,2002,4486.705,-2.34,4
MAY,2002,4486.005,-3.04,5
JUN,2002,4485.105,-3.94,6
JUL,2002,4484.205,-4.84,7
AUG,2002,4483.605,-5.44,8
SEP,2002,4483.605,-5.44,9
OCT,2002,4483.805,-5.24,10
NOV,2002,4484.105,-4.94,11
DEC,2002,4485.255,-3.79,12
JAN,2003,4484.805,-4.24,1
FEB,2003,4485.255,-3.79,2
MAR,2003,4485.555,-3.49,3
APR,2003,4485.005,-4.04,4
MAY,2003,4485.055,-3.99,5
JUN,2003,4484.205,-4.84,6
JUL,2003,4483.305,-5.74,7
AUG,2003,4483.905,-5.14,8
SEP,2003,4482.505,-6.54,9
OCT,2003,4482.705,-6.34,10
NOV,2003,4483.305,-5.74,11
DEC,2003,4484.205,-4.84,12
JAN,2004,4484.145,-4.9,1
FEB,2004,4484.605,-4.44,2
MAR,2004,4484.915,-4.13,3
APR,2004,4485.185,-3.86,4
MAY,2004,4484.92,-4.13,5
JUN,2004,4484.32,-4.73,6
JUL,2004,4483.912,-5.13,7
AUG,2004,4482.711,-6.33,8
SEP,2004,4482.008,-7.04,9
OCT,2004,4482.141,-6.9,10
NOV,2004,4482.526,-6.52,11
DEC,2004,4483.073,-5.97,12
JAN,2005,4483.683,-5.36,1
FEB,2005,4484.27,-4.77,2
MAR,2005,4484.76,-4.28,3
APR,2005,4485.089,-3.96,4
MAY,2005,4486.597,-2.45,5
JUN,2005,4487.869,-1.18,6
JUL,2005,4487.808,-1.24,7
AUG,2005,4487.135,-1.91,8
SEP,2005,4486.599,-2.45,9
OCT,2005,4486.647,-2.4,10
NOV,2005,4487.122,-1.92,11
DEC,2005,4487.517,-1.53,12
JAN,2006,4488.102,-0.94,1
FEB,2006,4488.568,-0.48,2
MAR,2006,4489.01,-0.04,3
APR,2006,4489.346,0.3,4
MAY,2006,4489.615,0.57,5
JUN,2006,4489.295,0.25,6
JUL,2006,4488.663,-0.38,7
AUG,2006,4488.022,-1.02,8
SEP,2006,4487.6,-1.45,9
OCT,2006,4487.738,-1.31,10
NOV,2006,4488.029,-1.02,11
DEC,2006,4488.47,-0.58,12
JAN,2007,4488.825,-0.22,1
FEB,2007,4489.204,0.16,2
MAR,2007,4489.336,0.29,3
APR,2007,4489.176,0.13,4
MAY,2007,4488.946,-0.1,5
JUN,2007,4488.514,-0.53,6
JUL,2007,4487.817,-1.23,7
AUG,2007,4487.105,-1.94,8
SEP,2007,4486.484,-2.56,9
OCT,2007,4486.383,-2.66,10
NOV,2007,4486.542,-2.5,11
DEC,2007,4486.935,-2.11,12
JAN,2008,4487.4,-1.65,1
FEB,2008,4487.891,-1.15,2
MAR,2008,4488.264,-0.78,3
APR,2008,4488.565,-0.48,4
MAY,2008,4488.674,-0.37,5
JUN,2008,4488.656,-0.39,6
JUL,2008,4488.163,-0.88,7
AUG,2008,4487.345,-1.7,8
SEP,2008,4486.778,-2.27,9
OCT,2008,4486.544,-2.5,10
NOV,2008,4486.766,-2.28,11
DEC,2008,4487.104,-1.94,12
JAN,2009,4487.545,-1.5,1
FEB,2009,4488.116,-0.93,2
MAR,2009,4488.476,-0.57,3
APR,2009,4488.976,-0.07,4
MAY,2009,4489.478,0.43,5
JUN,2009,4489.52,0.48,6
JUL,2009,4489.144,0.1,7
AUG,2009,4488.496,-0.55,8
SEP,2009,4487.949,-1.1,9
OCT,2009,4487.667,-1.38,10
NOV,2009,4487.907,-1.14,11
DEC,2009,4488.278,-0.77,12
JAN,2010,4488.807,-0.24,1
FEB,2010,4489.07,0.03,2
MAR,2010,4488.888,-0.16,3
APR,2010,4489.022,-0.02,4
MAY,2010,4488.962,-0.08,5
JUN,2010,4488.959,-0.09,6
JUL,2010,4488.392,-0.65,7
AUG,2010,4487.662,-1.38,8
SEP,2010,4486.962,-2.08,9
OCT,2010,4486.784,-2.26,10
NOV,2010,4487.055,-1.99,11
DEC,2010,4487.556,-1.49,12
JAN,2011,4488.29,-0.75,1
FEB,2011,4488.978,-0.07,2
MAR,2011,4489.251,0.21,3
APR,2011,4489.458,0.41,4
MAY,2011,4490.255,1.21,5
JUN,2011,4491.19,2.15,6
JUL,2011,4491.19,2.15,7
AUG,2011,4490.382,1.34,8
SEP,2011,4489.515,0.47,9
OCT,2011,4489.073,0.03,10
NOV,2011,4488.875,-0.17,11
DEC,2011,4488.923,-0.12,12
JAN,2012,4489.293,0.25,1
FEB,2012,4489.342,0.3,2
MAR,2012,4489.303,0.26,3
APR,2012,4489.202,0.16,4
MAY,2012,4488.961,-0.08,5
JUN,2012,4488.502,-0.54,6
JUL,2012,4487.559,-1.49,7
AUG,2012,4486.737,-2.31,8
SEP,2012,4486.152,-2.89,9
OCT,2012,4485.983,-3.06,10
NOV,2012,4486.255,-2.79,11
DEC,2012,4486.648,-2.4,12
JAN,2013,4487.076,-1.97,1
FEB,2013,4487.443,-1.6,2
MAR,2013,4487.866,-1.18,3
APR,2013,4487.957,-1.09,4
MAY,2013,4487.874,-1.17,5
JUN,2013,4487.386,-1.66,6
JUL,2013,4486.663,-2.38,7
AUG,2013,4485.848,-3.2,8
SEP,2013,4485.366,-3.68,9
OCT,2013,4485.217,-3.83,10
NOV,2013,4485.414,-3.63,11
DEC,2013,4485.714,-3.33,12
JAN,2014,4486.064,-2.98,1
FEB,2014,4486.525,-2.52,2
MAR,2014,4486.821,-2.22,3
APR,2014,4486.923,-2.12,4
MAY,2014,4486.648,-2.4,5
JUN,2014,4486.124,-2.92,6
JUL,2014,4485.411,-3.63,7
AUG,2014,4484.739,-4.31,8
SEP,2014,4484.431,-4.61,9
OCT,2014,4484.322,-4.72,10
NOV,2014,4484.388,-4.66,11
DEC,2014,4484.755,-4.29,12
JAN,2015,4485.199,-3.85,1
FEB,2015,4485.478,-3.57,2
MAR,2015,4485.661,-3.38,3
APR,2015,4485.526,-3.52,4
MAY,2015,4485.637,-3.41,5
JUN,2015,4485.441,-3.6,6
JUL,2015,4484.663,-4.38,7
AUG,2015,4483.977,-5.07,8
SEP,2015,4483.387,-5.66,9
OCT,2015,4483.17,-5.88,10
NOV,2015,4483.218,-5.83,11
DEC,2015,4483.574,-5.47,12
JAN,2016,4483.98,-5.07,1
FEB,2016,4484.366,-4.68,2
MAR,2016,4484.731,-4.31,3
APR,2016,4484.853,-4.19,4
MAY,2016,4484.586,-4.46,5
JUN,2016,4484.448,-4.6,6
JUL,2016,4483.508,-5.54,7
AUG,2016,4482.687,-6.36,8
SEP,2016,4482.039,-7.01,9
OCT,2016,4482.135,-6.91,10
NOV,2016,4482.285,-6.76,11
DEC,2016,4482.537,-6.51,12
JAN,2017,4483.102,-5.94,1
FEB,2017,4483.853,-5.19,2
MAR,2017,4484.702,-4.34,3
APR,2017,4485.501,-3.54,4
MAY,2017,4486.125,-2.92,5
JUN,2017,4486.561,-2.48,6
JUL,2017,4486.154,-2.89,7
AUG,2017,4485.594,-3.45,8
SEP,2017,4485.045,-4,9
OCT,2017,4484.975,-4.07,10
NOV,2017,4485.09,-3.96,11
DEC,2017,4485.367,-3.68,12
JAN,2018,4485.736,-3.31,1
FEB,2018,4486.08,-2.97,2
MAR,2018,4486.361,-2.68,3
APR,2018,4486.617,-2.43,4
MAY,2018,4486.406,-2.64,5
JUN,2018,4486.195,-2.85,6
JUL,2018,4485.393,-3.65,7
AUG,2018,4484.678,-4.37,8
SEP,2018,4483.968,-5.08,9
OCT,2018,4484.168,-4.88,10
NOV,2018,4484.364,-4.68,11
DEC,2018,4484.491875,-4.71,12
