"SiteCode","SiteName","date","month","Turbidity.ntu","temp.C","windspeed.m.s","winddir.deg","winddir.deg.180","fetch","Latitude","Longitude","depth","rho","v","waveheight","waveperiod","wavelength","tau.wind"
4917365,"Utah Lake 2 miles west of Vineyard",2016-08-29,8,34.9128571428571,22.0946666666667,2.19166666666667,213.838453300373,33.8384533003728,20678.6992188,40.29569,-111.80282,1.6,997.745456309172,0.000000954789439860698,0.111487010166505,1.45142005933422,3.28070794241946,0.0458
4917365,"Utah Lake 2 miles west of Vineyard",2016-08-30,8,25.661875,21.4920833333333,3.2125,157.225335414505,337.225335414505,22392.3007813,40.29569,-111.80282,1.6,997.88105986548,0.000000968430261723383,0.167080190422399,1.85438498103244,5.24186750178903,0.1537
4917365,"Utah Lake 2 miles west of Vineyard",2016-08-31,8,26.5748958333333,22.3413541666667,2.19166666666667,196.694910012528,16.694910012528,36141,40.29569,-111.80282,1.6,997.688883734771,0.000000949292111547474,0.116456297154378,1.45142009993955,3.28070812350349,0.0477
4917365,"Utah Lake 2 miles west of Vineyard",2016-09-01,9,60.3347916666667,23.0423958333333,3.84166666666667,314.947945133829,134.947945133829,22419.5,40.29569,-111.80282,1.6,997.524793505554,0.000000933938886067997,0.189831010700236,2.04485211519029,6.23314075587174,0.2046
4917365,"Utah Lake 2 miles west of Vineyard",2016-09-02,9,82.896875,22.1302083333333,3.3625,318.529699497377,138.529699497377,23440.1992188,40.29569,-111.80282,1.6,997.737343331019,0.000000953994323939216,0.174295823743754,1.90305345227872,5.49353393509552,0.1678
4917365,"Utah Lake 2 miles west of Vineyard",2016-09-03,9,114.883958333333,22.1540625,4.42083333333333,330.814806769345,150.814806769345,24791.6992188,40.29569,-111.80282,1.6,997.731891082425,0.000000953461257564159,0.210056912501404,2.19328586559961,7.00883410820935,0.2507
4917365,"Utah Lake 2 miles west of Vineyard",2016-09-04,9,209.547916666667,20.8830208333333,4.82916666666667,17.7608646596562,197.760864659656,35226,40.29569,-111.80282,1.6,998.014353044569,0.000000982531400432988,0.232661485821522,2.28589642485796,7.4895921711856,0.2941
4917365,"Utah Lake 2 miles west of Vineyard",2016-09-05,9,260.2659375,18.6404166666667,5.14583333333333,145.928211764226,325.928211764226,24313.3007813,40.29569,-111.80282,1.6,998.47165732919,0.00000103732693357921,0.226650265605809,2.35201972516154,7.83026857405809,0.3019
4917365,"Utah Lake 2 miles west of Vineyard",2016-09-06,9,111.067395833333,18.0535416666667,2.55416666666667,147.920682789743,327.920682789743,24738.4003906,40.29569,-111.80282,1.6,998.582411278933,0.00000105245577236159,0.136491618844277,1.61085423056124,4.02180747477737,0.089
4917365,"Utah Lake 2 miles west of Vineyard",2016-09-07,9,39.8685416666667,18.4325,2.31666666666667,205.696467358502,25.696467358502,28503.0996094,40.29569,-111.80282,1.6,998.511325999526,0.00000104264777913636,0.123344031397185,1.50873912187269,3.54042638542173,0.0627
4917365,"Utah Lake 2 miles west of Vineyard",2016-09-08,9,29.6686458333333,19.0752083333333,2.10833333333333,170.461941234802,350.461941234802,23495.0996094,40.29569,-111.80282,1.6,998.387185945916,0.00000102633596060255,0.107244809418753,1.41174102424347,3.10580212200644,0.0401
4917365,"Utah Lake 2 miles west of Vineyard",2016-09-09,9,90.9603125,19.1630208333333,3.27083333333333,175.495493955218,355.495493955218,23473.9003906,40.29569,-111.80282,1.6,998.369877964888,0.00000102413822341959,0.170662194457358,1.87357763467712,5.3409141769001,0.165
4917365,"Utah Lake 2 miles west of Vineyard",2016-09-10,9,68.8657291666667,17.5607291666667,1.9625,140.006624634975,320.006624634975,22978.1992188,40.29569,-111.80282,1.6,998.672483867944,0.000001065426753034,0.0966685961360783,1.3393307505667,2.79760364639807,0.0279
4917365,"Utah Lake 2 miles west of Vineyard",2016-09-11,9,48.9901041666667,18.2390625,1.9125,194.774893953188,14.7748939531879,36271.1015625,40.29569,-111.80282,1.6,998.547808059065,0.00000104763635934188,0.095481336900282,1.3135998022169,2.69164846806949,0.0244
4917365,"Utah Lake 2 miles west of Vineyard",2016-09-12,9,111.569375,19.0697916666667,3.92916666666667,87.1826803252889,267.182680325289,9319.25,40.29569,-111.80282,1.6,998.388250861805,0.0000010264717677677,0.155518192395879,2.06792513526077,6.35387125633877,0.1788
4917365,"Utah Lake 2 miles west of Vineyard",2016-09-13,9,219.544791666667,18.24,3.78333333333333,179.172847014496,359.172847014496,23137.9003906,40.29569,-111.80282,1.6,998.547632236637,0.00000104761209249676,0.188968781333367,2.02860403082396,6.14813988141631,0.2133
4917365,"Utah Lake 2 miles west of Vineyard",2016-09-14,9,134.264583333333,17.908125,3.93333333333333,122.627884593445,302.627884593445,15868.7998047,40.29569,-111.80282,1.6,998.609269186268,0.00000105625753311692,0.179661880508757,2.06981471587266,6.36375884890025,0.2098
4917365,"Utah Lake 2 miles west of Vineyard",2016-09-15,9,102.338020833333,16.7489583333333,2.57083333333333,185.341814343446,5.34181434344617,22699.0996094,40.29569,-111.80282,1.6,998.814936751884,0.00000108734107238432,0.136116022996629,1.61770568489635,4.05487874006289,0.0916
4917365,"Utah Lake 2 miles west of Vineyard",2016-09-16,9,68.6516666666667,16.5041666666667,2.41666666666667,170.915721694883,350.915721694883,23482.5996094,40.29569,-111.80282,1.6,998.856431570027,0.00000109408679109588,0.127502306965855,1.55278123158984,3.74528033534592,0.0744
